       200	       200
    1	       210
    2	       198
    3	       194
    4	       227
    5	       203
    6	       199
    7	       211
    8	       204
    9	       208
   10	       199
   11	       187
   12	       192
   13	       187
   14	       202
   15	       180
   16	       180
   17	       211
   18	       169
   19	       180
   20	       201
   21	       186
   22	       173
   23	       215
   24	       209
   25	       210
   26	       192
   27	       213
   28	       219
   29	       202
   30	       209
   31	       214
   32	       202
   33	       192
   34	       195
   35	       200
   36	       187
   37	       181
   38	       194
   39	       228
   40	       214
   41	       202
   42	       221
   43	       200
   44	       181
   45	       212
   46	       192
   47	       209
   48	       195
   49	       197
   50	       214
